dog_guid,MIN(c.created_at),hour,day,month,gender,neutered,personality,age,weight,breed,btype,bgroup,ntests,mid
fd27b86c-7144-11e5-ba71-058fbc01cf0b,2013-02-05 18:26:54,18,3,2,female,0,einstein,4.0,190,Shih Tzu,Pure Breed,Toy,31,7.7342542438
fd27ba1a-7144-11e5-ba71-058fbc01cf0b,2013-02-05 20:35:47,20,3,2,male,1,maverick,32.0,190,Shih Tzu,Pure Breed,Toy,27,6.1905898326
fd27d770-7144-11e5-ba71-058fbc01cf0b,2013-02-10 15:10:37,15,1,2,female,1,socialite,3.0,60,Bouvier des Flandres,Pure Breed,Herding,25,3.8906365741
fd27d9fa-7144-11e5-ba71-058fbc01cf0b,2014-09-24 15:10:03,15,4,9,female,1,einstein,8.0,90,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.013653752437
fd27e9a4-7144-11e5-ba71-058fbc01cf0b,2013-03-22 16:13:32,16,6,3,male,0,protodog,2.0,190,Shih Tzu,Pure Breed,Toy,22,5.5305561067
fd27ed46-7144-11e5-ba71-058fbc01cf0b,2013-02-06 20:14:43,20,4,2,female,0,maverick,2.0,190,Shih Tzu,Pure Breed,Toy,25,4.3253255208
fd3ccf2c-7144-11e5-ba71-058fbc01cf0b,2013-10-10 18:47:21,18,5,10,female,1,einstein,7.0,190,Shih Tzu,Pure Breed,Toy,22,13.520467372
fd3d0f00-7144-11e5-ba71-058fbc01cf0b,2013-02-08 15:12:24,15,6,2,male,0,expert,6.0,10,Labradoodle,Popular Hybrid,,20,0.0073531920117
fd3d1b44-7144-11e5-ba71-058fbc01cf0b,2013-05-13 16:17:04,16,2,5,male,1,einstein,5.0,190,Shih Tzu,Pure Breed,Toy,20,3.055451998
fd3d2f9e-7144-11e5-ba71-058fbc01cf0b,2013-02-09 21:48:46,21,7,2,female,1,socialite,8.0,40,Poodle,Pure Breed,Non-Sporting,20,0.0026522904488
fd3d3688-7144-11e5-ba71-058fbc01cf0b,2013-02-10 19:39:00,19,1,2,female,1,ace,5.0,60,Mixed,Mixed Breed/ Other/ I Don't Know,,34,26.732909652
fd3d587a-7144-11e5-ba71-058fbc01cf0b,2013-02-22 17:00:49,17,6,2,male,1,stargazer,3.0,190,Shih Tzu,Pure Breed,Toy,22,1.8643253968
fd3f8aa0-7144-11e5-ba71-058fbc01cf0b,2013-02-13 06:22:47,6,4,2,male,1,renaissance-dog,6.0,30,Beagle,Pure Breed,Hound,23,6.3134048822
fd3fc0ce-7144-11e5-ba71-058fbc01cf0b,2013-02-14 17:44:23,17,5,2,female,1,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,20,0.00084307991995
fd3fcc40-7144-11e5-ba71-058fbc01cf0b,2013-02-15 05:09:23,5,6,2,female,1,protodog,4.0,10,Chihuahua-Dachshund Mix,Cross Breed,,20,0.010620126709
fd3fdd20-7144-11e5-ba71-058fbc01cf0b,2013-02-17 22:32:10,22,1,2,female,,protodog,4.0,80,German Shepherd Dog,Pure Breed,Herding,20,1.0997874025
fd3fea04-7144-11e5-ba71-058fbc01cf0b,2014-01-09 18:23:32,18,5,1,female,1,ace,10.0,20,Boston Terrier,Pure Breed,Non-Sporting,21,0.15459548612
fd3fea9a-7144-11e5-ba71-058fbc01cf0b,2013-02-18 21:06:28,21,2,2,male,1,einstein,2.0,190,Shih Tzu,Pure Breed,Toy,35,12.480236588
fd3fee14-7144-11e5-ba71-058fbc01cf0b,2013-02-23 18:47:46,18,7,2,female,1,protodog,3.0,30,Mixed,Mixed Breed/ Other/ I Don't Know,,22,2.994804343
fd3ffecc-7144-11e5-ba71-058fbc01cf0b,2013-02-22 17:55:10,17,6,2,male,1,ace,11.0,40,Mixed,Mixed Breed/ Other/ I Don't Know,,23,4.4533154461
fd401614-7144-11e5-ba71-058fbc01cf0b,2013-08-19 14:30:31,14,2,8,female,1,protodog,3.0,190,Shih Tzu,Pure Breed,Toy,36,11.191646825
fd404634-7144-11e5-ba71-058fbc01cf0b,2013-02-21 16:41:41,16,5,2,female,1,maverick,4.0,190,Shih Tzu,Pure Breed,Toy,20,5.7324329922
fd404b02-7144-11e5-ba71-058fbc01cf0b,2013-02-28 01:44:54,1,5,2,male,1,ace,5.0,70,Boxer,Pure Breed,Working,20,2.4086440058
fd404d3c-7144-11e5-ba71-058fbc01cf0b,2013-02-21 19:01:12,19,5,2,female,1,maverick,8.0,20,Mixed,Mixed Breed/ Other/ I Don't Know,,20,5.8291246345
fd4054ee-7144-11e5-ba71-058fbc01cf0b,2013-06-06 13:35:50,13,5,6,female,1,protodog,2.0,190,Shih Tzu,Pure Breed,Toy,45,9.3910051031
fd405732-7144-11e5-ba71-058fbc01cf0b,2013-02-25 20:03:44,20,2,2,female,1,socialite,7.0,40,Mixed,Mixed Breed/ Other/ I Don't Know,,20,2.5366240253
fd405b88-7144-11e5-ba71-058fbc01cf0b,2013-02-22 11:25:02,11,6,2,female,1,protodog,3.0,0,Mixed,Mixed Breed/ Other/ I Don't Know,,31,4.6610760031
fd406466-7144-11e5-ba71-058fbc01cf0b,2013-06-09 15:51:00,15,1,6,male,1,socialite,3.0,20,Miniature Schnauzer-Poodle Mix,Cross Breed,,20,0.11003411306
fd40bd62-7144-11e5-ba71-058fbc01cf0b,2013-03-03 22:10:22,22,1,3,male,1,stargazer,3.0,190,Shih Tzu,Pure Breed,Toy,35,18.763468137
fd40cb7c-7144-11e5-ba71-058fbc01cf0b,2013-02-28 20:19:45,20,5,2,male,1,ace,5.0,20,Scottish Terrier,Pure Breed,Terrier,20,0.10449439571
fd40d4dc-7144-11e5-ba71-058fbc01cf0b,2013-03-03 23:39:20,23,1,3,male,1,expert,4.0,80,Weimaraner,Pure Breed,Sporting,20,1.1547179581
fd40debe-7144-11e5-ba71-058fbc01cf0b,2013-02-27 15:21:06,15,4,2,male,1,charmer,10.0,50,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.023353435669
fd410a7e-7144-11e5-ba71-058fbc01cf0b,2013-03-02 21:36:30,21,7,3,female,1,stargazer,5.0,40,Australian Cattle Dog-Border Collie Mix,Cross Breed,,20,1.526494883
fd4111f4-7144-11e5-ba71-058fbc01cf0b,2013-03-05 16:19:34,16,3,3,male,1,charmer,5.0,60,Mixed,Mixed Breed/ Other/ I Don't Know,,20,2.9640052388
fd411b0e-7144-11e5-ba71-058fbc01cf0b,2013-03-02 17:22:59,17,7,3,male,1,charmer,6.0,90,Golden Retriever,Pure Breed,Sporting,20,12.518426535
fd413080-7144-11e5-ba71-058fbc01cf0b,2013-03-02 21:40:48,21,7,3,male,1,renaissance-dog,5.0,30,Labradoodle,Popular Hybrid,,20,0.041263401557
fd414674-7144-11e5-ba71-058fbc01cf0b,2013-03-02 21:10:09,21,7,3,female,1,charmer,4.0,10,Shetland Sheepdog,Pure Breed,Herding,20,0.22011634991
fd4146f6-7144-11e5-ba71-058fbc01cf0b,2013-03-02 21:27:15,21,7,3,male,1,protodog,5.0,10,Shetland Sheepdog,Pure Breed,Herding,20,0.22084064327
fd415a7e-7144-11e5-ba71-058fbc01cf0b,2013-03-03 21:09:43,21,1,3,male,1,protodog,9.0,50,German Shepherd Dog-Beagle Mix,Cross Breed,,20,22.429475512
fd418a8a-7144-11e5-ba71-058fbc01cf0b,2013-03-06 01:05:47,1,4,3,female,1,ace,3.0,20,Shiba Inu,Pure Breed,Non-Sporting,27,2.8291751246
fd419598-7144-11e5-ba71-058fbc01cf0b,2013-03-14 22:43:46,22,5,3,female,0,ace,3.0,50,German Shepherd Dog,Pure Breed,Herding,20,2.2125201023
fd41bca8-7144-11e5-ba71-058fbc01cf0b,2013-03-08 19:55:54,19,6,3,male,1,stargazer,5.0,190,Labrador Retriever,Pure Breed,Sporting,39,20.94169682
fd41e106-7144-11e5-ba71-058fbc01cf0b,2013-03-14 16:41:54,16,5,3,male,1,protodog,7.0,30,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.27051352339
fd41f056-7144-11e5-ba71-058fbc01cf0b,2014-10-09 17:19:01,17,5,10,male,0,maverick,3.0,190,Shih Tzu,Pure Breed,Toy,20,5.0525213207
fd420276-7144-11e5-ba71-058fbc01cf0b,2013-03-17 19:14:14,19,1,3,male,0,charmer,6.0,60,Golden Doodle,Popular Hybrid,,37,11.71638696
fd4212ca-7144-11e5-ba71-058fbc01cf0b,2013-03-16 06:43:06,6,7,3,male,1,charmer,12.0,30,Shetland Sheepdog,Pure Breed,Herding,20,0.041185428854
fd421838-7144-11e5-ba71-058fbc01cf0b,2015-05-16 20:48:46,20,7,5,male,1,ace,9.0,50,Alaskan Malamute-Collie Mix,Cross Breed,,20,0.35759868421
fd421d7e-7144-11e5-ba71-058fbc01cf0b,2013-03-18 23:04:53,23,2,3,female,0,ace,5.0,50,Weimaraner,Pure Breed,Sporting,20,0.0018250487291
fd422210-7144-11e5-ba71-058fbc01cf0b,2013-03-19 17:24:15,17,3,3,male,1,stargazer,1.0,190,Shih Tzu,Pure Breed,Toy,20,0.00069078947666
fd42226a-7144-11e5-ba71-058fbc01cf0b,2013-03-19 17:59:41,17,3,3,male,1,ace,2.0,190,Shih Tzu,Pure Breed,Toy,20,0.0010483674461
fd422332-7144-11e5-ba71-058fbc01cf0b,2013-03-19 18:42:39,18,3,3,male,1,socialite,2.0,190,Shih Tzu,Pure Breed,Toy,20,0.0010971003885
fd422e0e-7144-11e5-ba71-058fbc01cf0b,2013-03-20 19:42:14,19,4,3,male,1,renaissance-dog,1.0,190,Shih Tzu,Pure Breed,Toy,45,8.4542703072
fd423714-7144-11e5-ba71-058fbc01cf0b,2013-03-21 19:35:27,19,5,3,male,1,maverick,2.0,190,Shih Tzu,Pure Breed,Toy,31,26.794221451
fd4275a8-7144-11e5-ba71-058fbc01cf0b,2013-03-27 22:13:44,22,4,3,male,0,renaissance-dog,1.0,40,Golden Retriever,Pure Breed,Sporting,20,0.035179702724
fd428d68-7144-11e5-ba71-058fbc01cf0b,2013-03-30 12:38:35,12,7,3,male,1,einstein,8.0,50,Australian Shepherd,Pure Breed,Herding,20,1.7138730507
fd42913c-7144-11e5-ba71-058fbc01cf0b,2013-05-08 13:57:34,13,4,5,male,1,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,27,16.814351852
fd4298c6-7144-11e5-ba71-058fbc01cf0b,2013-04-01 06:25:55,6,2,4,female,1,charmer,3.0,130,Great Dane,Pure Breed,Working,20,0.29707541423
fd429de4-7144-11e5-ba71-058fbc01cf0b,2013-04-02 14:40:47,14,3,4,male,1,expert,3.0,190,Shih Tzu,Pure Breed,Toy,20,0.00069688109221
fd42ad20-7144-11e5-ba71-058fbc01cf0b,2014-07-14 14:09:08,14,2,7,male,1,einstein,2.0,190,Shih Tzu,Pure Breed,Toy,20,22.850757188
fd42b78e-7144-11e5-ba71-058fbc01cf0b,2013-04-11 02:31:02,2,5,4,male,1,socialite,4.0,90,German Shepherd Dog,Pure Breed,Herding,20,5.8471284113
fd42cd96-7144-11e5-ba71-058fbc01cf0b,2013-05-14 22:29:01,22,3,5,female,1,ace,5.0,190,Shih Tzu,Pure Breed,Toy,24,0.039759460548
fd42d930-7144-11e5-ba71-058fbc01cf0b,2013-04-14 06:34:18,6,1,4,female,1,charmer,2.0,30,Belgian Tervuren,Pure Breed,Herding,20,0.3055914961
fd42e33a-7144-11e5-ba71-058fbc01cf0b,2013-04-16 21:39:40,21,3,4,female,1,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,22,2.3722437169
fd42e542-7144-11e5-ba71-058fbc01cf0b,2013-04-20 22:02:13,22,7,4,female,0,ace,3.0,30,Border Collie,Pure Breed,Herding,20,0.053977217347
fd42f7ee-7144-11e5-ba71-058fbc01cf0b,2013-04-18 18:55:50,18,5,4,male,1,stargazer,5.0,20,Mixed,Mixed Breed/ Other/ I Don't Know,Toy,20,0.0013072612132
fd42f85c-7144-11e5-ba71-058fbc01cf0b,2013-04-18 19:46:16,19,5,4,female,1,stargazer,8.0,190,Shih Tzu,Pure Breed,Toy,20,20.011507066
fd433632-7144-11e5-ba71-058fbc01cf0b,2013-04-23 22:19:23,22,3,4,male,1,protodog,1.0,60,Golden Retriever,Pure Breed,Sporting,20,1.0494109405
fd435608-7144-11e5-ba71-058fbc01cf0b,2013-04-27 17:33:10,17,7,4,female,1,expert,3.0,70,Chesapeake Bay Retriever,Pure Breed,Sporting,26,2.2375449074
fd4373e0-7144-11e5-ba71-058fbc01cf0b,2013-04-24 21:06:53,21,4,4,female,1,stargazer,3.0,60,German Shepherd Dog,Pure Breed,Herding,20,4.4726894493
fd43a202-7144-11e5-ba71-058fbc01cf0b,2013-04-25 02:05:40,2,5,4,female,1,socialite,6.0,20,American Eskimo Dog-Russell Terrier Mix,Cross Breed,,20,21.102933723
fd43a4c8-7144-11e5-ba71-058fbc01cf0b,2013-04-25 21:06:43,21,5,4,female,1,renaissance-dog,1.0,60,Labrador Retriever,Pure Breed,Sporting,30,10.239994013
fd43aef0-7144-11e5-ba71-058fbc01cf0b,2013-04-26 00:11:31,0,6,4,female,1,protodog,5.0,50,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.0038243177358
fd43b936-7144-11e5-ba71-058fbc01cf0b,2013-04-26 11:21:41,11,6,4,male,0,expert,5.0,80,Cocker Spaniel,Pure Breed,Sporting,20,0.010480019497
fd440d6e-7144-11e5-ba71-058fbc01cf0b,2013-05-09 15:33:51,15,5,5,female,0,stargazer,31.0,190,Shih Tzu,Pure Breed,Toy,20,0.05071028265
fd441034-7144-11e5-ba71-058fbc01cf0b,2013-05-03 21:03:36,21,6,5,male,1,ace,2.0,30,Australian Cattle Dog-Border Collie Mix,Cross Breed,,25,1.5473480903
fd4415b6-7144-11e5-ba71-058fbc01cf0b,2013-06-10 14:26:03,14,2,6,female,1,stargazer,3.0,10,Afghan Hound,Pure Breed,Hound,20,0.0024738060371
fd4458aa-7144-11e5-ba71-058fbc01cf0b,2013-06-11 13:56:48,13,3,6,female,1,protodog,9.0,40,Portuguese Water Dog,Pure Breed,Working,20,0.70560550682
fd4469da-7144-11e5-ba71-058fbc01cf0b,2013-05-26 17:34:41,17,1,5,female,1,ace,8.0,90,Labrador Retriever,Pure Breed,Sporting,20,0.0015655458096
fd448dac-7144-11e5-ba71-058fbc01cf0b,2013-06-28 17:24:32,17,6,6,female,1,renaissance-dog,10.0,20,Cocker Spaniel,Pure Breed,Sporting,23,14.36111532
fd44e57c-7144-11e5-ba71-058fbc01cf0b,2013-05-15 17:07:14,17,4,5,female,1,charmer,6.0,20,German Shepherd Dog,Pure Breed,Herding,23,0.0049884259246
fd44f68e-7144-11e5-ba71-058fbc01cf0b,2013-06-04 18:58:44,18,3,6,male,1,stargazer,1.0,190,Shih Tzu,Pure Breed,Toy,20,0.021543006823
fd452fa0-7144-11e5-ba71-058fbc01cf0b,2013-05-21 16:53:42,16,3,5,female,1,stargazer,3.0,10,Akita,Pure Breed,Working,23,0.0015588173411
fd453496-7144-11e5-ba71-058fbc01cf0b,2013-05-22 00:23:03,0,4,5,female,1,ace,2.0,30,Puggle,Popular Hybrid,,20,0.042435428851
fd453b6c-7144-11e5-ba71-058fbc01cf0b,2013-05-23 18:52:19,18,5,5,male,1,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,28,0.47895833333
fd455250-7144-11e5-ba71-058fbc01cf0b,2013-05-26 12:40:01,12,1,5,female,1,socialite,7.0,20,Cocker Spaniel,Pure Breed,Sporting,20,0.0073403996097
fd4560f6-7144-11e5-ba71-058fbc01cf0b,2013-06-02 14:29:47,14,1,6,male,1,renaissance-dog,14.0,10,Mixed,Mixed Breed/ Other/ I Don't Know,,20,2.1547636452
fd456e16-7144-11e5-ba71-058fbc01cf0b,2013-05-28 17:35:19,17,3,5,female,0,maverick,2.0,50,Labrador Retriever-Golden Retriever Mix,Cross Breed,,20,3.628919347
fd458964-7144-11e5-ba71-058fbc01cf0b,2013-05-29 18:25:56,18,4,5,female,1,charmer,3.0,40,American Pit Bull Terrier-Boston Terrier Mix,Cross Breed,,20,0.094918981483
fd45ae08-7144-11e5-ba71-058fbc01cf0b,2013-06-04 18:53:41,18,3,6,male,0,ace,31.0,180,Shih Tzu,Pure Breed,Toy,32,11.575051897
fd45aeda-7144-11e5-ba71-058fbc01cf0b,2013-06-04 18:51:18,18,3,6,male,0,stargazer,2.0,190,Shih Tzu,Pure Breed,Toy,21,0.80292939815
fd45b452-7144-11e5-ba71-058fbc01cf0b,2013-06-05 16:52:08,16,4,6,male,1,stargazer,2.0,20,Cockapoo,Popular Hybrid,,20,0.0016678849935
fd45c104-7144-11e5-ba71-058fbc01cf0b,2013-06-06 16:58:48,16,5,6,male,1,expert,4.0,0,Yorkshire Terrier-Maltese Mix,Cross Breed,,20,0.024376218324
fd45ea44-7144-11e5-ba71-058fbc01cf0b,2013-06-08 23:44:06,23,7,6,male,1,einstein,1.0,10,Mixed,Mixed Breed/ Other/ I Don't Know,,20,5.6341684941
fd45f462-7144-11e5-ba71-058fbc01cf0b,2013-06-10 15:21:50,15,2,6,male,1,stargazer,1.0,190,Shih Tzu,Pure Breed,Toy,20,0.0016800682306
fd45f5f2-7144-11e5-ba71-058fbc01cf0b,2013-06-11 03:12:36,3,3,6,male,1,socialite,3.0,30,Pembroke Welsh Corgi,Pure Breed,Herding,20,0.055583576996
fd4615dc-7144-11e5-ba71-058fbc01cf0b,2013-06-15 17:22:11,17,7,6,male,1,socialite,5.0,10,Dachshund,Pure Breed,Hound,20,0.053212719302
fd462086-7144-11e5-ba71-058fbc01cf0b,2013-06-30 14:17:38,14,1,6,female,1,expert,8.0,10,Poodle,Pure Breed,Non-Sporting,43,7.3335146605
fd4647fa-7144-11e5-ba71-058fbc01cf0b,2013-06-18 15:53:02,15,3,6,male,1,stargazer,6.0,100,Shih Tzu,Pure Breed,Toy,33,1.1601555266
fd46539e-7144-11e5-ba71-058fbc01cf0b,2013-06-23 11:57:47,11,1,6,female,1,socialite,10.0,60,Boxer,Pure Breed,Working,20,5.6548659844
fd4658b2-7144-11e5-ba71-058fbc01cf0b,2013-06-21 17:12:18,17,6,6,female,1,ace,3.0,10,Miniature Schnauzer-Poodle Mix,Cross Breed,,21,26.048071759
fd46856c-7144-11e5-ba71-058fbc01cf0b,2013-06-26 13:22:15,13,4,6,male,0,protodog,32.0,190,Shih Tzu,Pure Breed,Toy,20,0.00095090156079
fd46ae84-7144-11e5-ba71-058fbc01cf0b,2013-06-27 16:16:01,16,5,6,female,0,protodog,32.0,190,Shih Tzu,Pure Breed,Toy,20,0.0012701023371
fd46d3fa-7144-11e5-ba71-058fbc01cf0b,2013-07-01 10:10:46,10,2,7,female,0,socialite,8.0,40,English Setter,Pure Breed,Sporting,23,1.4574047769
fd473f2a-7144-11e5-ba71-058fbc01cf0b,2013-07-09 03:41:10,3,3,7,male,1,expert,7.0,20,Bichon Frise,Pure Breed,Non-Sporting,20,0.031316398637
fd479182-7144-11e5-ba71-058fbc01cf0b,2013-07-11 20:31:08,20,5,7,male,0,socialite,2.0,50,Afghan Hound,Pure Breed,Hound,20,0.002555433722
fd47fca8-7144-11e5-ba71-058fbc01cf0b,2013-07-17 04:43:54,4,4,7,female,0,renaissance-dog,2.0,60,Golden Retriever-Labrador Retriever Mix,Cross Breed,,20,1.4751163499
fd47ffe6-7144-11e5-ba71-058fbc01cf0b,2013-07-20 22:03:11,22,7,7,female,0,protodog,1.0,50,Labrador Retriever-Golden Retriever Mix,Cross Breed,,20,1.2599409113
fd480bbc-7144-11e5-ba71-058fbc01cf0b,2013-07-19 19:19:34,19,6,7,female,1,socialite,2.0,60,Golden Retriever-Labrador Retriever Mix,Cross Breed,,20,1.4387682749
fd484046-7144-11e5-ba71-058fbc01cf0b,2013-07-18 13:39:56,13,5,7,female,0,protodog,2.0,60,Labrador Retriever,Pure Breed,Sporting,20,0.80680433723
fd484172-7144-11e5-ba71-058fbc01cf0b,2013-07-21 15:16:33,15,1,7,male,1,socialite,2.0,50,Labrador Retriever-Golden Retriever Mix,Cross Breed,,20,0.91862329434
fd486a1c-7144-11e5-ba71-058fbc01cf0b,2013-07-19 23:12:09,23,6,7,female,1,charmer,8.0,100,St. Bernard-Labrador Retriever Mix,Cross Breed,,20,3.6163791423
fd48b738-7144-11e5-ba71-058fbc01cf0b,2013-07-23 20:40:29,20,3,7,male,0,socialite,2.0,70,Labrador Retriever,Pure Breed,Sporting,20,1.1098324805
fd48f75c-7144-11e5-ba71-058fbc01cf0b,2013-08-07 15:01:09,15,4,8,male,1,protodog,3.0,70,Labrador Retriever,Pure Breed,Sporting,20,1.3228137183
fd491caa-7144-11e5-ba71-058fbc01cf0b,2013-08-07 16:23:04,16,4,8,female,0,stargazer,2.0,60,Golden Retriever,Pure Breed,Sporting,20,0.44158930312
fd4a33a6-7144-11e5-ba71-058fbc01cf0b,2013-08-04 17:38:35,17,1,8,female,1,protodog,4.0,20,Icelandic Sheepdog,Pure Breed,Herding,28,7.4821626372
fd4a3c84-7144-11e5-ba71-058fbc01cf0b,2013-09-02 02:17:16,2,2,9,male,1,charmer,2.0,50,Rottweiler,Pure Breed,Working,20,0.18293189571
fd4a6b6e-7144-11e5-ba71-058fbc01cf0b,2013-08-07 21:58:45,21,4,8,male,0,stargazer,1.0,0,Affenpinscher,Pure Breed,Toy,20,0.004853192006
fd4a7712-7144-11e5-ba71-058fbc01cf0b,2013-09-20 19:16:33,19,6,9,male,1,protodog,5.0,30,German Shepherd Dog,Pure Breed,Herding,20,0.14745065789
fd4ae90e-7144-11e5-ba71-058fbc01cf0b,2013-08-08 19:58:02,19,5,8,female,1,ace,5.0,60,Labrador Retriever,Pure Breed,Sporting,20,3.3760897904
fd4b24fa-7144-11e5-ba71-058fbc01cf0b,2013-08-17 03:35:44,3,7,8,male,1,charmer,2.0,60,Mixed,Mixed Breed/ Other/ I Don't Know,,23,13.895530829
fd4bc1da-7144-11e5-ba71-058fbc01cf0b,2013-08-21 02:19:56,2,4,8,female,1,stargazer,13.0,30,Poodle,Pure Breed,Non-Sporting,20,1.2562164961
fd50e192-7144-11e5-ba71-058fbc01cf0b,2013-09-01 18:12:42,18,1,9,female,1,ace,4.0,40,Poodle,Pure Breed,Non-Sporting,20,0.85374451755
fd515b68-7144-11e5-ba71-058fbc01cf0b,2013-09-20 21:10:35,21,6,9,male,1,einstein,3.0,50,Poodle,Pure Breed,Non-Sporting,20,0.26796661793
fd51a5aa-7144-11e5-ba71-058fbc01cf0b,2013-08-28 21:17:57,21,4,8,female,1,socialite,4.0,50,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.14250426413
fd51daac-7144-11e5-ba71-058fbc01cf0b,2014-10-21 18:53:02,18,3,10,male,1,,6.0,10,Dachshund,Pure Breed,Hound,3,0.0059317129785
fd52059a-7144-11e5-ba71-058fbc01cf0b,2013-09-03 14:08:04,14,3,9,female,1,ace,4.0,60,Mixed,Mixed Breed/ Other/ I Don't Know,,26,6.9281782407
fd520720-7144-11e5-ba71-058fbc01cf0b,2013-09-06 13:10:59,13,6,9,male,1,protodog,6.0,60,Boxer,Pure Breed,Working,20,0.0048976608147
fd5273b8-7144-11e5-ba71-058fbc01cf0b,2013-12-01 16:18:16,16,1,12,female,1,charmer,8.0,30,Mixed,Mixed Breed/ Other/ I Don't Know,,20,0.0070845516594
fd52a90a-7144-11e5-ba71-058fbc01cf0b,2013-09-12 00:31:24,0,5,9,male,1,protodog,9.0,40,Mixed,Mixed Breed/ Other/ I Don't Know,,20,11.149381092
fd52b300-7144-11e5-ba71-058fbc01cf0b,2013-09-13 16:30:06,16,6,9,female,1,ace,8.0,60,Labradoodle,Popular Hybrid,,20,1.3788943713
